Dell_product,Bestbuy_sku,Newegg_sku,CCE_sku
Alienware 27 Gaming Monitor - AW2724DM,17983236,3D4-000V-00076,
Dell 24 Monitor - P2425,17983310,,
Dell 27 Monitor - S2725HS,17983312,,
Dell 27 Monitor - P2725H,17983313,0JC-0004-00VJ2,
Dell 55 4K Interactive Touch Monitor - P5524QT,17983314,,
Dell 27 USB-C® Hub Monitor - P2725HE,17983315,0JC-0004-00VJ3,
Dell 22 Monitor - P2225H,17983317,, MTDEL00204
Dell UltraSharp 34 Curved Thunderbolt™  Hub Monitor - U3425WE,17983318,,
Dell 24 Monitor - S2425H,17983319,,
Dell 24 Monitor - S2425HS,17983320,,
Dell 24 Monitor - P2425H,17983322,,
Dell 24 USB-C® Hub Monitor - P2425HE,17983321,,
Dell 27 Monitor - S2725H,17983323,,
Dell 24 USB-C® Hub Monitor - P2425E,17983324,,
Dell 24 Monitor - SE2422H,17983865,,
Dell 34 Curved Monitor - S3422DW,,N82E16824260726,
Dell 22 Monitor - SE2222H,,0JC-0004-00TV1,
Dell 27 Monitor - E2724HS,,N82E16824260925,
Dell 25 Gaming Monitor - G2524H ,,,
Alienware 500Hz Gaming Monitor - AW2524HF,,,
Alienware 27 Gaming Monitor - AW2723DF,,,
Dell 27 USB-C Monitor - S2722DC,,1VK-0001-5Z176,
Dell 27 Inch USB-C Hub Computer Monitor - P2723DE,,0JC-0004-00U33,
Dell 34 Curved Gaming Monitor – S3422DWG,,0JC-0004-00SV1,
Dell 34 Curved USB-C Monitor – S3423DWC,,0JC-0004-00V84,
Dell 32 4K UHD Gaming Monitor - G3223Q,,,
Dell UltraSharp 32 4K HDR Monitor - UP3221Q,,1B4-0016-060K3,
Alienware 32 4K QD-OLED Gaming Monitor - AW3225QF,,,
Alienware 34 Curved QD-OLED Gaming Monitor - AW3423DWF,,,
Alienware 34 Curved QD-OLED Gaming Monitor - AW3423DW,,,
Dell UltraSharp 40 Curved Thunderbolt™ Hub Monitor - U4025QW,,,
Dell 24 Video Conferencing Monitor - C2423H,,0JC-0004-00U29,
Dell 24 USB-C Hub Monitor - P2423DE,,0JC-0004-00U28,
Dell 55 4K Conference Room Monitor - P5524Q,,,
Dell 75 4K Interactive Touch Monitor - P7524QT,,,
Dell 86 4K Interactive Touch Monitor - P8624QT,,,
